ticker,company_name,sector,industry,fiscal_year_end,COGS_to_Revenue,Gross_Margin,SGA_to_Revenue,Net_Margin,Cash_to_Assets,Receivables_to_Assets,Inventory_to_Assets,PPE_to_Assets,Debt_to_Assets,Equity_to_Assets
AAPL,Apple Inc,Technology,Technology Hardware,2025-09-30,0.5309483589283955,0.4690516410716045,0.06632288945864702,0.2691506412181824,0.10002755810166435,0.20308650738640635,0.015916891446132262,0.13872024629705407,0.2746262258483859,0.20524661717342954
AAPL,Apple Inc,Technology,Technology Hardware,2024-09-30,0.5379365018476607,0.4620634981523393,0.06673827151022287,0.23971255769943867,0.08204011178694723,0.1814976163077429,0.01996273768425667,0.12515754287906186,0.29215025480848267,0.15603594717518768
AAPL,Apple Inc,Technology,Technology Hardware,2023-09-30,0.5586887042279244,0.4413112957720756,0.06504820172978332,0.2530623426432028,0.08498708105609176,0.1729663653664527,0.017956055737230667,0.12398499076813119,0.3150690759338936,0.17625920705195655
AAPL,Apple Inc,Technology,Technology Hardware,2022-09-30,0.5669036943863991,0.43309630561360085,0.06363737802032826,0.2530964070519973,0.067032359569673,0.17273178268203143,0.014021062777281683,0.11939448058851045,0.37555810690139046,0.1436464401638531
MSFT,Microsoft Corp,Technology,Systems Software,2025-06-30,0.3117625761383482,0.6882374238616519,0.11669932274140649,0.3614601524896707,0.04885598292738484,0.11293160130080145,0.0015153399902746837,0.37122437209512715,0.0978799779645656,0.554890687121064
MSFT,Microsoft Corp,Technology,Systems Software,2024-06-30,0.3023555617202862,0.6976444382797138,0.13081241177862452,0.35955972944084985,0.03576009981197392,0.11114430366894915,0.002432819239187524,0.3017633058225604,0.1310656958819751,0.524202255922431
MSFT,Microsoft Corp,Technology,Systems Software,2023-06-30,0.3107991411650898,0.6892008588349102,0.1431422976193285,0.3414623787839464,0.08423791677185079,0.1181816416490281,0.006068314659106355,0.2669742897644523,0.14555459541332505,0.500570421577956
MSFT,Microsoft Corp,Technology,Systems Software,2022-06-30,0.315983255157109,0.684016744842891,0.13983456902204064,0.3668633681343622,0.03818386141870409,0.1213161933998465,0.010256550816796405,0.23995724153053394,0.16793662975550927,0.4564795526806271
NVDA,NVIDIA Corp,Technology,Semiconductors,2026-01-31,0.28931915642452927,0.7106808435754708,0.021205160740582946,0.5560253406070261,0.05128068741749394,0.18600310440370788,0.10349463015526854,0.06407063727315368,0.05338413852797107,0.7605934149891442
NVDA,NVIDIA Corp,Technology,Semiconductors,2025-01-31,0.2501130294183008,0.7498869705816992,0.026751572833091947,0.5584802715771244,0.07696167597064542,0.20667377532459386,0.09032177131029293,0.07236494296646087,0.08944364297810951,0.7108090429297228
